plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,zipCd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm,region
청년친화기업 지원,"청년이 일하고 싶은 고용환경을 갖춘 경남형 청년친화기업 지원을 통해, 청년 채용 확대 및 일생활 균형 기업 문화 확산","○ 경상남도 소재(본사) 중소기업
○ 도내 중소기업 중 청년일자리 창출 확대, 일생활 균형 조직문화, 고용 안정성, 복지 혜택 등이 우수한 중소기업을 ‘경남형 청년친화기업’으로 선정·지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
청년일자리 성장 프로젝트,"도내 미취업 청년 및 중소기업 임·직원을 대상으로 구직 단념을 예방하고, 청년친화 조직문화, 직장적응 지원 맞춤형 프로그램을 제공","○ 도내 미취업 청년 및 중소기업 임·직원(15 ~ 34세)
○ (구직단념 예방) 구직활동을 지원 및 취업 역량 강화 맞춤형 프로그램 제공
○ (직장 적응 지원) 청년친화 조직문화 교육 및 신입직원 대상 직장 적응지원 교육",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,15.0,34.0,일자리,재직자,경상남도
청춘마켓,청년 창업가 및 소상공인 등이 주도한 프리마켓 개최를 통하여 지역 청년 홍보 및 청년 창업 활성화 기여,"○ 도내 청년 창업가 및 청년 소상공인
○ 지역 청년 창업가 교류 및 판로 확대 지원
  - 지역 축제 기간 등에 청년 주도 프리마켓(버스킹, 푸드트럭, 홍보 등 부대행사) 개최
  - 청년 창업가, 청년 소상공인 등 네트워크 교류회 개최",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
귀어 청년 사각지대 해소 지원,귀어 정착 초기 재정적 지원을 통한 어촌 정착 유도 및 법과 조례상 청년어업인의 연령기준 차이로 인해 발생하는 사각지대 귀어청년 지원,"○ 40 ~ 49세 귀어 청년어업인
  - 건강보험료 소득판정기준 중위소득 150% 이하
  - 수산업 경영(어업, 양식업, 유통업, 가공업, 해양레저관광업 등) 5년 이하의 청년어업인(예정자 포함)
○ 40세 이상 50세 미만 독립경영 5년 이하 귀어청년(예정자 포함)의 영어·가계자금 지원(1인당 월 100만원 한도, 최대 1년 간)",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,40.0,49.0,일자리,재직자,경상남도
농업인대학 운영(농식품로컬벤처),지역 농식품 기반의 로컬벤처 육성으로 청년농업인의 농창업 조기 정착 및 안정화 기반 구축,"○ 19 ~ 49세 도내 청년농업인(예비 농식품 창업자 또는 초기 창업자)
○ 지역 농식품 로컬벤처 인력양성을 위한 장기교육 과정 운영",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,49.0,일자리,취업,경상남도
청년 창업농 맞춤형 지원,도내 유입되는 청년농업인들이 건실한 농업경영체로 육성하기 위해 창농(농업 창업)을 지원,"○ 도내 18 ~ 49세 청년농업인
○ 청년농업인의 창농 사업계획서를 평가하여 시설하우스, 노지농업, 가공 및 체험 등 다양한 청년팜 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,49.0,일자리,창업,경상남도
청년창업농 디자인 제작 지원,상품 판매에 있어 필요한 디자인 제작‧홍보 지원으로 상품 판매 경쟁력 제고 ,"○ 19 ~ 39세 임대형 스마트팜 청년농업인
○ 임대형 스마트팜 청년농에게 디자인 제작·홍보 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
차세대농업인 성공모델 육성,청년농업인 영농정착 기반 조성 지원으로 영농정착 안정화 유도,"○ 18 ~ 39세 청년농업인(영농경력 2년 이상)
○ 신기술, 영농현장에서 축적, 검증한 기술 등을 적용하여 구체화할 수 있는 영농기반 시설 및 장비 구축 지원
○ 창의적 아이디어 및 신기술이 반영된 자율형 공모",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,창업,경상남도
청년후계농 농지 임대료 지원,청년후계농의 영농 초기 농지 임대료 지원으로 안정적 영농기반 마련,"○ 도내 18 ~ 49세 청년농업인
○청년농업인이 농지 임대차 계약을 통해 영농에 종사할 경우 농지 임대료의 50% ~ 80% 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,49.0,일자리,재직자,경상남도
청년농업인 취농직불제,"농촌인구 감소와 고령화 등 농촌 공동화로 신규 농업인력 확보를 위한 청년 농업인 활성화 도모, 영농 초기 소득이 불안정한 청년농업인에게 영농 지원금을 지급 건실한 경영체로 성장을 유도
","○ 청년농업인
  - 40 ~ 49세
  - 4인 가족 기준중위소득 140% 미만
  - 독립경영 5년 이하(독립경영 예정자 포함)
○ 선발된 청년농업인이 독립영농 개시 후 1년 간 월 최대 100만원의 생활안정자금 지원 ",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,40.0,49.0,일자리,재직자,경상남도
청년 소규모 스마트팜 조성,소규모 스마트팜 신축 지원을 통한 청년농의 창업 및 안정적인 영농 정착 지원,"○ 경남 거주 만 50세 미만 농업인
  - 18세 ~ 50세 미만
  - 스마트팜 혁신밸리 청년창업보육센터 수료생(우선 지원)
○ 스마트팜 온실 신축 지원(0.3ha 이내)",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,49.0,일자리,창업,경상남도
지역특화 임대형 스마트팜 조성,스마트팜 전문교육을 마친 청년농들이 적정 임대료만으로 스마트팜 창업이 가능하도록 스마트팜 온실을 구축하여 청년의 스마트팜 진입과 안정적 정착 지원,"○ 18세 ~ 40세 미만 대한민국 국적 청년
 - (1순위) 스마트팜 청년창업 보육사업 수료(예정)생
 - (2순위) 독립경영 예정자 또는 시설농업 경험이 없는  청년농업인 중 독립경영 3년 이하 
○ 기반조성 5.6ha, 임대온실 4ha 신축",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,창업,경상남도
경남 동남아‧대양주 소비재 청년 무역사절단,수출 경험이 부족한 도내 청년기업의 소비재 분야 동남아‧대양주 시장 판로 개척 및 수출역량 강화,"○ 청년 기업
  - 고용노동부 주관 청년친화 강소기업, 경남형 청년친화기업으로 지정된 기업(유효기간 내)
  - 재직자 중 1명 이상 청년(18 ~ 39세)으로 구성된 기업
  - 사업자등록증상 대표자가 청년(18 ~ 39세)인 기업
○ 소비재 관련 바이어(벤더사, 전문상사 등)와 1:1 오프라인 수출상담 진행
○ 상담장 임차료, 편도 항공료(1사 1인), 통역비 등 지원
○ 무역사절단 파견 후 수출협약을 위한 후속 지원(긴급지사화 3개월)",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
여성 창업지원 서비스 지원,여성 예비 창업자에게 종합적인 창업 지원 서비스를 제공하여 여성 친화적 창업 환경 조성,"○ 도내 여성 예비 창업자
○ 창업상담, 창업교육, 전문가 컨설팅, 마케팅비 지원 등",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
경남 자원연계형 로컬창업 활성화 지원,"지역 자원을 활용한 창의적 BM 보유 로컬 창업가 발굴 지원으로 생활인구 증대, 신규 일자리 창출 및 지역경제 활성화 도모","○ 인구감소(관심)지역 내 청년 예비창업가 및 창업기업
○ 민간운영사 선정, 유망 창업기업 발굴 및 지역파트너 멘토링 지원, 사업화자금 지원, IR 데모데이 지원, 투자기업 후속 관리 등",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
경남 콘텐츠코리아랩 운영,"콘텐츠 개발 및 사업화 지원을 통한 경남의 지속 가능한 콘텐츠산업 창작·창업 생태계 조성, 지역 특화 콘텐츠 발굴·창작 교육 및 맞춤형 창업 지원으로 지역 콘텐츠 산업 육성 및 청년 일자리 확대
 ","○ 도내 예비 및 3년 이내 초기창업자
○ 아이디어 발굴, 창작교육, 콘텐츠개발·사업화 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
경남 웹툰캠퍼스 운영,"웹툰 전문교육, 입주실 및 창작 지원으로 지역 인재 양성 및 웹툰산업 활성화, 웹툰 페스티벌 개최를 통한 웹툰 산업 확산 및 향유 기회 마련
 ","○ 도내 청소년, 일반인 및 예비·기성 웹툰작가
○ 단계별 전문 웹툰교육 운영 및 창작 지원, 작가·기업 입주실 운영 등",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
경남글로벌게임센터 운영,"글로벌 게임 산업의 중심지로 변화하는 혁신적인 허브 조성, 경남의 게임 산업 생태계 강화 및 글로벌 네트워크 확장을 통한 지속 가능한 성장 체계 구축","○ 경남글로벌게임센터 운영, 게임산업 육성
○ 인큐베이팅 지원, 게임 제작 지원, 게임산업 유통 지원, 인재 양성 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
경남 글로벌 융복합 콘텐츠산업타운 조성,"제조업 중심 구조를 신성장 동력인 콘텐츠산업으로 전환 육성, 콘텐츠산업 고도화로 청년 일자리 창출 및 지역 불균형 해소",경남 글로벌 융복합 콘텐츠산업타운 조성 ,,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
그린 스타트업 타운 조성,"낙후된 도심기능을 창업, 벤처 중심으로 회복시키기 위해 도시재생뉴딜사업과 연계한 친환경 스타트업 타운 조성","복합허브센터 신축(8,000㎡) 및 공학2호관 일부 리모델링(769㎡) ",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
청년 창업아카데미 운영,"권역별 청년 유동인구가 많고, 접근성과 창업 인프라 환경이 우수한 곳을 창업 거점으로 운영하여 지역 간 창업 지원 불균형 해소","○ (예비) 창업가
○ 경남 동부권(양산, 김해, 밀양) 청년 창업 아카데미 조성에 따른 사업 및 운영비 지원
  - 청년 창업아카데미 입주기업 선발 및 맞춤형 창업기업 지원사업 추진
  - 경남 동부지역 창업문화 및 창업 네트워크 확산 프로그램 운영
  - 민간 참여 협업사업 추진",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
대학 특화 청년창업 활성화 지원,"도내 대학 보유 공간, 장비, 연구성과 등을 활용한 대학별 특화 비즈니스 모델 정립 및 체계적인 실전형 청년 창업 지원, 대학별 창업 특화 분야의 우수 창업기획자(액셀러레이터) 지원으로 체계적인 청년 창업가 육성 기반 마련
","○ 19 ~ 39세 도내 청년 창업자(업력 7년 미만)
○ 대학별 특화 창업분야 육성 지원 및 액셀러레이팅
  - 사업화, 투자유치, 대학 내 공간 연계 창업공간 지원
  - 창업기획자(액셀러레이터)를 통한 액셀러레이팅, 데모데이 개최",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,창업,경상남도
주력산업 상생희망공제 지원,협업을 통한 기업 청년 핵심인력 장기재직 지원으로 중소기업 성장 촉진과 경쟁력 강화로 지역 인구 유입 및 지역 주도형 청년일자리 창출,"○ (사업대상)
  - (기업) 도내 주력산업(항공, 방산 등, 제조업 포함)을 영위하는 중소기업
  - (청년) 해당 기업에 종사하는 18 ~ 45세 재직자
○ (사업내용)  
  - 도내 주력산업 중소기업에 재직 중인 청년이 5년간 만기 재직한 경우 청년지원금 지원
     * 만기금(2,880만원/5년) = 도(720만원) + 기업(1,440만원) + 청년(720만원)",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,45.0,일자리,재직자,경상남도
청년 면접정장 무료 대여,"청년 실업률 증가 및 취업 준비기간의 장기화로 청년들에게 소요되는 구직 과정의 과중한 경제적 부담 경감
 ","○ 18 ~ 39세 취업준비생 및 구직자(도내 주소를 둔 청년)
○ 구직 청년에 대한 면접정장 무료 대여(3박 4일, 연 5회/인)",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
청년일자리 위드유 운영,다양한 취·창업 사업연계 및 청년 커뮤니티 활동 지원 등 종합서비스를 제공하고 청년 수요에 맞는 맞춤형 지원을 강화,"○ 18 ~ 39세 예비창업가 및 미취업 청년 
○ 청년 취·창업 원스톱 서비스 지원 및 네트워크 공간 제공
  - 청년 취·창업 활동 지원 공간 대여
  - 취·창업 활동 지원 온·오프라인 프로그램 운영
  - 경남 귀환청년 프로젝트 전담창구 운영 및 청년사업 소개",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
도시재생 청년인재 양성,"도시재생 전문인력 양성 및 시군 도시재생지원센터, 지역대학과 연계하여 도시재생 지구 활성화를 위한 청년일자리 창출에 기여","○ (사업대상) 기타(도시재생에 관심 있는 도내 청년 및 대학생)
  - (연령기준) 19 ~ 39세
  - (기타조건) 도시재생 공동이용시설 활성화를 위해 도내 주요 대학과 연계하여 현장실습학기제, 일경험수련생으로 청년인턴 운영
○ 도시재생대학(기초·심화과정)+청년인턴+도시재생사 양성",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
청년어업인 귀어 인턴 지원,"귀어 취업 희망 청년층을 대상으로 선도어가, 어업법인 등 실무연수를 통한 영어 정착 동기 부여로 어업부문 신규 인력 유입","○ 지원대상
  - (실무연수 인턴) 시군이 추천하는 일정 조건을 갖춘 영어조합법인 또는 어업회사법인, 선도 어가 등 우수 어업경영체 * (대상 인턴) 18 ~ 49세의 미취업자 및 청년 귀어 희망인
   - (어촌계 인턴) 어촌계의 정관에 따라 신규로 가입한 어촌계원(준어촌계원 포함)
○ 주요내용
  - (실무연수 인턴) 영어 취업 희망 청년층을 대상으로 채용대상자 등에 인턴(실무연수)으로 근무 시 월 보수의 일부 지원
  - (어촌계 인턴) 어촌계 신규 가입 시 가입비 일부 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
청년 일경험 지원,청년 일경험을 통해 직무탐색 및 직무역량 강화,"○ 미취업 청년(18 ~ 39세) : 사업기간 동안 해당 지자체 주민등록 유지
○ 청년 일경험 수당 및 기업멘토수당 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
기업 채용 연계 청년일자리 지원,도-기업-대학(특성화고) 간 협약을 통한 기업 맞춤형 청년 인재 취업 지원을 통한 구인·구직 미스매치 해소,"○ 현장실습학기제 및 인력양성사업 참여기업
○ 채용장려금 : 월 60만원(1인) 최대 12개월 지원, 기업당 5인 이내  
○ 환경개선금 : 기업당 최대 2,000만원 지원
○ 주거정착금 : 월 30만원(1인) 이내 최대 12개월 지원 * 청년 직접 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
공공도서관 개관시간 연장,"사서 분야 취업을 희망하는 청년에게 일자리 제공, 공공도서관 개관시간 연장 운영(18시 이후)으로 직장인, 학생 등 도민의 보편적 독서복지 실현",○ 도서관 개관시간 연장 운영을 위한 인건비 지급,,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,0.0,0.0,일자리,취업,경상남도
문화콘텐츠분야 청년일자리 지원,"콘텐츠산업 수도권 집중화로 청년인구 유출 및 지역 불균형 심화, 청년들의 일자리 수요가 높은 지역콘텐츠 기업의 전략적 육성 및 산학연 연계 현장 중심의 기업이 원하는 전문인력 양성 필요 ","○ 도내 문화콘텐츠기업
○ 신규 청년 정규직 채용 인건비 지원
  - 신규 채용 근로자 인건비의 85% 지원(1인당 월 1,781천원, 5개월) ",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
시군 주도 청년일자리,청년의 취‧창업을 지원하여 지역정착과 지역 기업의 활력 제고,"○ 미취업 청년(18 ~ 39세) : '24년부터는 '24년도 이전 채용·참여 중인 기존 청년만 지원
○ 청년 인건비, 창업지원금 지급, 취·창업 컨설팅 지원",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
경남 청년 멀티미디어 디자이너 육성 지원,"가상현실 관련 기술 제품 디자인, 게임물, 영상콘텐츠 등 디지털 콘텐츠를 활용한 정보미디어에 대한 역량을 갖춘 디자이너 육성","○ 미취업 청년(18 ~ 39세)
○ 정보통신업종, 디자인전문회사
○ (기업) 청년 인건비 지원(2년, 인당 월 200만원, 인건비 10% 기업 자부담)  
○ (청년) 교통비(월 10만원), 역량강화지원비(연 60만원), 주거임차비(월 30만원), 3년차 인센티브(1년, 분기별 250만원) 지원, 멀티미디어 직무 기본·심화교육 실시",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
경남 청년 농식품수출 마케터 지원,도내 농식품 수출 기업들의 포스트 코로나 시대 적응 및 수출 경쟁력 제고를 위한 청년 마케팅 인력 지원,"○ 도내 해당 지자체 주민등록 19 ~ 39세 청년
○ 인건비 : 수출농단 및 업체 청년 채용 지원(기준 : 2,000천원/인/월)
○ 기타지원금 : 교육, 현장활동 등 지원(기준 : 250천원/인/월)
○ 자율지원비 : 주거비 및 교통비 등 지원(기준 : 400천원/인/월)
○ 인센티브 : 정규직 전환(유지)에 대한 지원(기준 : 2,500천원/인/분기)",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
경남 청년 메타버스 UX 디자이너 육성 지원,메타버스 서비스 확산의 핵심 요소인 UX의 청년 디자이너 육성 및 전문기업 일자리 제공,"○ 미취업 청년(18 ~ 39세)
○ 도내 중소기업 : 메타버스 UX 디자인 분야
○ (기업) 청년 인건비 지원(2년, 인당 월 225만원, 인건비 20% 기업 자부담)  
○ (청년) 교통비 지원(월 10만원), 주거임차비(월 30만원), 3년차 인센티브(1년, 분기별 250만원) 지원, 역량강화지원(연 60만원), 메타버스 직무 기본·심화교육 실시",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
에너지성장 플러스 청년일자리,"원전산업 생태계 복원 및 재도약 지원을 통한 청년일자리 창출, 청년 채용 지원을 통한 지역경제 활성화 및 청년인구 유입 제고 ","○ 지원대상
  - (기업) 도내 에너지산업 관련 기업
  - (청년) 도내 주소를 둔 39세 이하 미취업 청년
○ 청년 인건비 지원, 직무교육 실시, 취·창업 컨설팅 실시
  - (기업) 신규 채용한 청년 인건비 90% 지원(상한액 180만원, 기업 10% 부담)
  - (청년) 교통복지비(월 10만원), 주거지원금(월 30만원) 등 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
청년인재-주력산업 동반성장 일자리,"경상남도 전통 제조업 및 미래 제조산업 등 주력산업 재활성화 및 경쟁력 확보, 청년 정규직 일자리 창출","○ 지원대상
  - (기업) 도내 주력산업, 전통 제조산업 기업
     *주력 : 스마트기계, 첨단항공, 나노융합 스마트부품, 항노화메디컬(바이오) 등
     *전통제조 : 자동차, 조선, 항공, 기계 등
  - (청년) 도 주소를 둔 39세 이하 미취업 청년
○ 청년 인건비 지급, 취·창업 컨설팅 지원
  - (기업) 신규 채용한 청년 인건비 90% 지원(상한액 180만원, 기업 10% 부담)
  - (청년) 교통복지비(월 10만원), 주거지원금(월 30만원) 등 지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
귀환청년 행복일자리 이음,경남 전입을 희망하는 타 시도 청년들과 도내 유망 중소기업 간의 일자리 연결로 지역 정착 지원 및 청년 유입 활성화,"○ 2022 ~ 2023년도 채용된 청년 및 참여기업
○ 청년 인건비 지급, 취·창업 컨설팅 지원",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,취업,경상남도
고졸자-선도기업간 희망사다리 일자리,도내 특성화고 졸업자와 현장 실습 참여 선도기업 간 일자리 연계 지원으로 고졸 청년의 일자리 창출 및 지역 정착 지원,"○ 2022 ~ 2023년도 채용된 청년 및 참여기업
○ 미취업 청년(15~ 39세) : '23년부터는 '23년도 이전 채용·참여 중인 기존 청년만 지원
○ 사업장 : 도내 현장실습 선도기업
○ 청년 인건비 지급, 취·창업 컨설팅 지원",20250101 ~ 20250131,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,15.0,39.0,일자리,취업,경상남도
청년 장인프로젝트,"도내 소공인 사업장에 청년 인건비 등 지원으로, 소공인 사업체에 활력을 불어넣고, 청년의 노동시장 진입 촉진","○ 청년(18 ~ 39세) : 참여 소공인 사업장 신규 채용 청년(주소지 해당 시군 전입 필요)
○ 소공인 사업장 : 도내 소재 10인 미만 소규모 제조업체
○ 신규채용 청년 인건비 등 지원을 통한 청년일자리 창출
  - (인건비) 신규 채용 청년 월 200만원/2년 간 인건비 지원(10% 기업 부담)
  - (교육) 실무에 필요한 직무교육 및 컨설팅·노무상담 지원
  - (지역정착) 교통비(월 10만원) 및 주거정착비(월 30만원) 지원
  - (장기재직) 2년 지원 후 정규직 취업 시 연 1,000만원의 인센티브 지원(3개월 근속 확인 후) ",20250101 ~ 20250430,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,18.0,39.0,일자리,취업,경상남도
중소기업 청년 활력,중소기업-청년 간 일자리 미스매치 해소 및 청년의 경남 유출을 방지하여 지역 활력 제고,"○ 미취업 청년(19 ~ 39세) : 사업기간 동안 해당 지자체 주민등록 유지
○ 사업장 : 사업 공고일 이후 정규직을 신규 공고‧채용한 도내 중소기업
○ 청년 인건비 지원(1인 2백만원/월, 2년 간) 및 직무교육 실시 
○ 2년 근무 만료 청년 인센티브 지급(1인 1,000만원 이내)",20250101 ~ 20250430,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,일자리,재직자,경상남도
신혼부부 주택구입 대출이자 지원,신혼부부 주거비 부담 완화와 안정적 정주환경 조성,"○ 도내 주택을 구입하여 살고 있는 신혼부부(혼인신고 7년 이내)
  - 합산 연소득 1억원 이하
○ 대출잔액 5천만원의 3% 이자 지원(연 최대 150만원)",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,주거,주택 및 거주지,경상남도
청년 주택 임차보증금 이자 지원,도내 청년들의 주거비 부담 경감 및 주거생활 안정 등 정주여건 개선,"○ 도내 주민등록이 되어 있는 무주택 청년(19 ~ 39세 이하)
○ 전세 대출잔액 5천만원의 3% 이자 지원(연 최대 150만원)",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,주거,주택 및 거주지,경상남도
청년 월세 지원,"청년 주거비 지원을 통해 경남 청년의 주거 안정과 사회 진입을 돕고, 안정적인 생활 기반 마련을 통한 지역 정착 유도","○ 경남 거주 19 ~ 39세 청년이 세대주인 가구 
  - (소득기준) 중위소득 60% 초과 150% 이하(건강보험료본인부담금 기준) 신청
  - (주택기준) 임차보증금 1억원 이하, 월 임차료 60만원 이하 주택
○  12개월 간 최대 20만원 지원('22년부터 적용 : 생애 1회)",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,주거,전월세 및 주거급여 지원,경상남도
남명학사 운영비 지원,성장 가능성이 풍부한 도내 출신 대학생에 기숙사 제공으로 면학 여건 제공 및 지역 인재 육성 도모,"○ (서울관) 보호자 도 1년 이상 거주, (창원관) 보호자 또는 학생 도 거주
  - (연령기준) 대학생
  - (소득기준) 심사 시 생활수준 반영(전년도 부모 건강보험료 월 평균 고지금액)
  - (기타조건) 학업 성적, 가산점
○ 남명학사 운영비 지원
○ 남명학사 입사생 모집·선발 운영",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19.0,39.0,주거,기숙사,경상남도
