plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,zipCd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm,region
세종 청년참여마일리지 운영,시정 참여와 정책 홍보활동 시 마일리지(지역화폐 전환) 지원으로 청년들의 정책 참여도 제고 및 지역사회 관심 제고,"[세종 청년참여 마일리지 지급 절차]
○ 시정 참여 및 홍보 활동
  - 마일리지 부여 항목에 따라 선택하여 활동 진행
○ 마일리지 적립 신청
  - 새종청년플랫폼에 증빙자료를 첨부하여 마일리지 신청
○ 심사 및 마일리지 적립
  - 신청 내용, 증빙 자료 등 적정여부를 확인하여 항목별 마일리지 부여
○ 지역화폐(여민전) 지급
  - 최초 전환금액(100,000P)달성 시, 지역화폐로 전환 신청
  - 전환신청 승인 후 지역화폐(여민전) 지급",,36110,https://4242.or.kr/sub0506/view/id/2304#u,19.0,39.0,참여권리,청년참여,세종특별자치시
청년문화 활성화,청년들이 쉽게 참여할 수 있는 문화 프로그램을 운영하여 문화 향유 기회 확대,"○ 북부권 청년거점공간 활성화(조치원클래스)
   - 공간활성화를 위한 문화프로그램 운영: 매월 첫, 둘째주
○ 신도심 청년 커뮤니티 활성화(도담클래스)
   - 1인 가구 청년을 위한 요리프로그램 운영: 매월 셋째주 
○ 신도심 청년 커뮤니티 활성화(다정클래스)
   - 청년재능활동가와 함께 하는 문화프로그램 운영: 매월 넷째주",20250601 ~ 20251130,36110,https://4242.or.kr,19.0,39.0,참여권리,청년참여,세종특별자치시
 세종 청년센터 운영,문화·복지 등 다양한 분야의 청년정책 발굴 및 청년활동 지원,"○ 청년정책분야
  - 청년정책네크워크, 청년정책 홍보, 청년정책 발굴 및 창년 참여 마일리지 운영
○ 청년성장분야
  - 청년기획자양성 및 청년재능활동가 지원
○ 청년문화분야
  - 세종청년주간, 청년문화활성화, 문화생태계 리빙랩 운영
○ 청년생활분야
  - 청년정착상담소, 고립은둔청년지원, 청년양악자 지원 프로그램 운영
○ 센터활성화 분야
  - 세종청년플래폼 운영, 청년유관기관 협의체 운영 및 센터 성과보고회 ",,36110,,19.0,39.0,참여권리,정책인프라구축,세종특별자치시
청년이사비 지원사업,이사가 잦은 1인 가구 청년들에게 이사비를 지원하여 청년들의 지역 정착 및 주거 안정 도모,"최대 50만원 내에서 이사비 및 중개보수 비용 실비 지원(생애 1회)
  ∙ 이사비 : 최대 20만원 / 중개수수료 : 최대 30만원",20250101 ~ 20251231,47130,,19.0,39.0,복지문화,취약계층 및 금융지원,경상북도
청년근로자 사랑채움사업,"지역 중소기업에 근무하는 청년의 주거, 결혼자금 등을 위한 목돈마련 지원으로 자립기반 및 장기근속 여건 조성","청년 근로자 자산형성 지원(2년 만기예금)
 ∙ 청  년  480만원(매  월 20만원, 총 24회 적립)
 ∙ 지자체  480만원(분기당 120만원, 총 4회 적립)
    → 2년 만기 시 960만원 + 이자",20250430 ~ 20250627,47130,,19.0,39.0,복지문화,취약계층 및 금융지원,경상북도
꿈이음 청춘카페 지원사업,"경주 미취업 청년을 대상으로 지역카페를 이용하여 취·창업 준비 및 커뮤니티 공간제공을 통한 지역 경제 활성화를 도모하고, 기업과 청년 간  네트워킹을 통한 일자리 매칭 유도","∙ 카페 공간 사용을 위한 음료 쿠폰 10만 포인트 제공 및 취․창업 프로그램 및 기업 홍보 활동
∙ 청년들을 위한 취․창업 프로그램 운영 및 지역기업 홍보를 위한 별도 공간 제공 ",20250501 ~ 20250531,47130,,19.0,39.0,일자리,취업,경상북도
청년일자리 로컬솔루션 프로젝트,지역 해결형 청년 일자리 문제해결을 위한 사업을 추진하여 지역 청년 맞춤형 취업 지원으로 취업프로그램 만족도를 제고하고 청년 구직자 역량 강화를 위한 취업 지원 서비스 강화,"∙ 사업수행기관·기업·청년 구직자 간 채용 연계를 통한 청년층 맞춤형 취업 지원
∙ 모의 면접, 기업탐방, 취업 컨설팅 등
∙ 취업전문가 특강, 인사담당자, 기업 CEO 초청 특강 등
∙ 지역 특성 고려 채용박람회 개최 허용
∙ 자격증 응시료 지원, 구인기업 정보제공 홍보, 구직 활동비 등 지원",20250301 ~ 20251231,47130,,19.0,39.0,일자리,취업,경상북도
2025 청년정책 발굴 사업,온라인 정책 제안 및 청년친화정책 숙의 토론회를 통해 청년정책 결정 과정에 청년 참여 보장 및 실효성 있는 정책 발굴,"○ 온라인 청년정책 제안창구 운영
 - (대상) 세종시 거주 또는 활동하는 청년
 - (내용) 세종청년플랫폼 내 온라인 청년정책 제안 창구 운영
○ 청년친화정책 토론회 운영
 - (대상) 온라인 정책 공감 표시 100개 이상 득표 정책 제안자, 전문가 등
 - (내용) 투표를 통해 상정된 정책 발제, 숙의토론 등
○ 기타사항: 숙의토론 후 청년자율편성예산제 연계",20250301 ~ 20251231,36110,https://4242.or.kr/policy_suggestion,19.0,39.0,참여권리,정책인프라구축,세종특별자치시
청년자율편성예산제 운영,청년 제안 정책이 실질적으로 정책화 될 수 있도록 정책 결정과정에 청년참여를 확대하여 실효성 있는 청년정책 수립,"□ 추진절차
  ○ (정책제안) 청년정책네트워크 제안 및 온라인 제안(5-6월)
  ○ (숙의․토론) 전문가 자문 및 청년 의견 수렴(7월)
  ○ (제안검토) 제안대회 및 소관부서 타당성 검토(8월)
  ○ (제안선정) 시민투표(8월말)
  ○ (최종심의) 청년정책조정위원회 심의(9월)  *26년 사업 선정",,36110,https://4242.or.kr,19.0,39.0,참여권리,정책인프라구축,세종특별자치시
세종 청년정책네트워크 구성·운영,제6기 청년정책네트워크를 구성·운영하여 실효성 있는 청년정책을 발굴하고 시정에 반영 및 모니터링 하고자 함,"□ 청년정책네트워크 모집개요
  ○ (모집인원) 70명 내외
  ○ (모집대상) 세종시 거주 또는 활동하는 청년
  ○ (지원내용) 정책 관련 교육, 멘토링, 회의 등 지원
  ○ (활동내용) 분과별 회의, 활동을 통한 정책 제안 및 모니터링",,36110,https://4242.or.kr,19.0,39.0,참여권리,청년참여,세종특별자치시
