지역명,보증금(만원),월세금(만원)
경기도 과천시,1489.4308943089432,54.109756097560975
경기도 의왕시,1291.6382252559727,50.955631399317404
경기도 하남시,1157.0343839541547,48.15186246418338
경기도 성남시,1113.4375345494748,48.855168601437256
강원특별자치도 인제군,1091.4634146341464,36.58536585365854
경상북도 성주군,1016.0714285714286,36.857142857142854
경기도 안양시,1007.8290993071594,45.47748267898383
전라남도 함평군,1000.0,16.0
경기도 광명시,998.7671232876712,46.1
경기도 군포시,998.3052011776251,44.45436702649656
경기도 남양주시,974.5389170896785,48.83460236886633
경기도 광주시,969.1845848494872,47.323519682434664
경상남도 거창군,950.3816793893129,37.80152671755725
강원특별자치도 양양군,944.7058823529412,43.0
경기도 고양시,902.8150700155591,47.48588575238942
경상남도 하동군,896.6666666666666,38.7
경기도 파주시,893.5930787589499,51.612768496420045
경기도 구리시,883.9791485664639,44.8879235447437
경상남도 남해군,882.9268292682926,35.53658536585366
경기도 용인시,871.8750384260683,49.12311712265601
경상남도 합천군,846.9285714285714,45.82142857142857
경상북도 영덕군,840.377358490566,35.84905660377358
경기도 화성시,831.5982982534707,49.880429914912675
전라남도 완도군,812.5,37.875
강원특별자치도 영월군,800.0,33.666666666666664
경기도 양평군,792.795918367347,44.57551020408163
경기도 수원시,789.807881773399,44.20745633676668
경상남도 산청군,781.25,33.28125
경기도 부천시,771.9656462585034,41.16530612244898
경기도 김포시,763.9374379344588,45.25124131082423
경기도 오산시,761.9314574314574,47.487734487734485
경기도 시흥시,760.2561983471074,40.93057851239669
전북특별자치도 진안군,750.0,46.5
경상남도 통영시,745.1243781094528,36.88723051409619
경상북도 의성군,736.3636363636364,38.63636363636363
경기도 가평군,736.3448275862069,42.16551724137931
경상남도 진주시,734.8175740210124,36.28844317096466
경상남도 밀양시,731.0197368421053,39.608552631578945
경상남도 창원시,722.621640407785,35.93628359592215
충청남도 금산군,721.311475409836,34.278688524590166
전라남도 강진군,716.0,45.12
전라남도 장성군,700.0,39.7
경기도 의정부시,699.5017584994139,41.954865181711604
경상남도 창녕군,698.6111111111111,36.763888888888886
경상북도 청도군,696.969696969697,35.03030303030303
전북특별자치도 무주군,687.5,43.125
전북특별자치도 완주군,686.5934065934066,35.67032967032967
경기도 동두천시,678.6802030456853,41.39593908629442
충청남도 태안군,676.271186440678,34.57627118644068
경상북도 문경시,668.362831858407,34.9646017699115
경기도 연천군,660.8695652173913,36.869565217391305
경기도 안산시,657.9122709605774,41.59578012215436
경기도 이천시,651.2605940594059,47.44039603960396
경상북도 칠곡군,650.3504672897196,30.726635514018692
충청남도 계룡시,647.0588235294117,38.14705882352941
경기도 양주시,643.918918918919,46.813813813813816
충청남도 당진시,640.4060494958753,37.49587534372136
경상남도 고성군,638.75,37.11363636363637
경상남도 함양군,636.6666666666666,35.88333333333333
경상남도 함안군,633.3333333333334,39.77777777777778
전북특별자치도 장수군,633.3333333333334,33.333333333333336
경상북도 청송군,630.3030303030303,37.666666666666664
충청북도 단양군,630.0,38.9
경상남도 김해시,622.7923607122343,36.81792073520965
충청남도 부여군,616.0,37.44
경상남도 양산시,614.584918957012,35.72656800563777
충청남도 홍성군,614.1891891891892,37.351351351351354
경상남도 의령군,606.9444444444445,32.30555555555556
전라남도 담양군,605.2631578947369,41.63157894736842
전북특별자치도 순창군,602.5,30.333333333333332
전북특별자치도 남원시,598.797619047619,34.05952380952381
충청남도 보령시,596.8021680216802,39.699186991869915
경상북도 영천시,595.5801104972376,32.5414364640884
경상북도 울릉군,593.75,48.5
경상남도 사천시,593.1372549019608,36.13921568627451
충청남도 천안시,584.7551990493167,42.48187759952466
강원특별자치도 정선군,584.6153846153846,37.69230769230769
전북특별자치도 전주시,578.9523492907801,36.43306737588652
전북특별자치도 정읍시,578.3,38.15
전북특별자치도 부안군,578.0,36.62
전북특별자치도 고창군,575.0,39.354166666666664
경상북도 구미시,573.770382165605,31.336624203821657
경기도 여주시,568.8256658595642,44.53389830508475
충청북도 진천군,567.2680412371134,41.06185567010309
전라남도 보성군,555.5555555555555,32.22222222222222
충청북도 청주시,551.4842298128517,43.64755921999738
충청북도 음성군,549.5652173913044,40.91304347826087
충청남도 논산시,548.1803278688525,39.13770491803279
경상북도 울진군,546.875,44.75
경상북도 봉화군,542.8571428571429,39.714285714285715
강원특별자치도 화천군,537.5,41.625
경기도 포천시,533.1232091690545,37.83094555873925
강원특별자치도 속초시,527.9405286343613,43.59471365638767
경상북도 포항시,527.8978723404256,37.71798839458414
강원특별자치도 홍천군,526.6666666666666,39.28888888888889
충청남도 서산시,524.4793152639087,42.723252496433666
전라남도 무안군,519.4262295081967,38.82786885245902
전라남도 곡성군,512.5,34.25
충청북도 보은군,509.09090909090907,36.36363636363637
충청북도 괴산군,500.0,35.4
강원특별자치도 횡성군,499.8695652173913,39.04347826086956
충청북도 충주시,497.6393659180978,40.11889035667107
경기도 평택시,493.66730997624705,54.35020783847981
강원특별자치도 평창군,485.7142857142857,35.42857142857143
경상북도 김천시,485.658940397351,31.735099337748345
전라남도 해남군,483.8709677419355,36.12903225806452
전북특별자치도 임실군,480.0,33.8
충청남도 아산시,478.7519236688212,43.2123730378578
전라남도 진도군,466.6666666666667,41.666666666666664
경상북도 안동시,462.90513833992094,36.0395256916996
충청남도 예산군,462.4375,34.3125
충청북도 영동군,458.9583333333333,31.854166666666668
충청북도 제천시,457.1811594202899,40.69202898550725
전라남도 영광군,449.25,37.85
