지역명,보증금(만원),월세금(만원),종합월부담,종합부담등급,월세등급
전라남도 목포시,351.5,37.18709677419355,38.65,중,중
충청남도 청양군,342.10526315789474,35.36842105263158,36.79,하,하
전북특별자치도 군산시,341.3756345177665,35.018612521150594,36.44,하,하
충청남도 공주시,337.527397260274,36.92465753424658,38.33,하,중
제주특별자치도 제주시,326.6527153234175,55.00276720857835,56.36,상,상
전라남도 장흥군,321.4736842105263,38.66315789473684,40.0,중,중
전북특별자치도 익산시,312.0953038674033,37.58977900552486,38.89,중,중
전라남도 순천시,309.16617210682494,39.94807121661721,41.24,중,중
제주특별자치도 서귀포시,295.571002979146,49.56504468718967,50.8,상,상
강원특별자치도 태백시,277.3076923076923,38.38461538461539,39.54,중,중
경상남도 거제시,267.1279264214047,36.14966555183946,37.26,하,하
강원특별자치도 삼척시,261.41509433962267,41.21698113207548,42.31,중,중
전라남도 광양시,250.83798882681563,37.24022346368715,38.29,하,중
강원특별자치도 철원군,250.0,30.8,31.84,하,하
전라남도 여수시,244.03191489361703,42.35106382978724,43.37,중,상
전라남도 영암군,144.44444444444446,28.0,28.6,하,하
전라남도 신안군,125.0,20.0,20.52,하,하
