지역명,보증금(만원),월세금(만원),종합월부담,종합부담등급,월세등급
전북특별자치도 정읍시,418.1818182,35.86363636,37.61,하,하
전북특별자치도 진안군,406.0457516,41.39379085,43.09,중,중
제주특별자치도 서귀포시,405.2059146,41.8543264,43.54,중,중
제주특별자치도 제주시,402.9923664,43.4519084,45.13,상,상
충청남도 계룡시,401.75625,39.5525,41.23,중,중
충청남도 공주시,397.3289347,40.84293531,42.5,중,중
충청남도 금산군,395.0220994,34.96685083,36.61,하,하
충청남도 논산시,391.9047619,39.19047619,40.82,중,중
충청남도 당진시,386.9565217,37.56521739,39.18,중,중
충청남도 보령시,377.1416667,35.83333333,37.4,하,하
충청남도 부여군,359.3825605,32.64163306,34.14,하,하
충청남도 서산시,357.0119658,39.00683761,40.49,중,중
충청남도 서천군,352.6666667,35.60714286,37.08,하,하
충청남도 아산시,351.5,37.18709677,38.65,중,중
충청남도 예산군,342.1052632,35.36842105,36.79,하,하
충청남도 천안시,341.3756345,35.01861252,36.44,하,하
충청남도 청양군,337.5273973,36.92465753,38.33,하,중
충청남도 태안군,326.6527153,55.00276721,56.36,상,상
충청남도 홍성군,321.4736842,38.66315789,40,중,중
충청북도 괴산군,312.0953039,37.58977901,38.89,중,중
충청북도 단양군,309.1661721,39.94807122,41.24,중,중
충청북도 보은군,295.571003,49.56504469,50.8,상,상
충청북도 영동군,277.3076923,38.38461538,39.54,중,중
충청북도 옥천군,267.1279264,36.14966555,37.26,하,하
충청북도 음성군,261.4150943,41.21698113,42.31,중,중
충청북도 제천시,250.8379888,37.24022346,38.29,하,중
충청북도 증평군,250,30.8,31.84,하,하
충청북도 진천군,244.0319149,42.35106383,43.37,중,상
충청북도 청주시,144.4444444,28,28.6,하,하
충청북도 충주시,125,20,20.52,하,하
