지역명,평균접근성
강원특별자치도 강릉시,0.001653952901334487
강원특별자치도 고성군,0.0008809965422995339
강원특별자치도 동해시,0.002303115481867423
강원특별자치도 삼척시,0.0008807887274043982
강원특별자치도 속초시,0.002199783419590053
강원특별자치도 양구군,0.0022826174687491222
강원특별자치도 양양군,0.0007368609967743929
강원특별자치도 영월군,0.001845539059683017
강원특별자치도 원주시,0.0022485122555554265
강원특별자치도 인제군,0.0012429123645275857
강원특별자치도 정선군,0.0014168678420720775
강원특별자치도 철원군,0.0014908118408609463
강원특별자치도 춘천시,0.0022677787822185176
강원특별자치도 태백시,0.0022292025110199603
강원특별자치도 평창군,0.0012361514867863484
강원특별자치도 홍천군,0.002063912519721176
강원특별자치도 화천군,0.0022003879398963862
강원특별자치도 횡성군,0.0008577109852209658
경기도 가평군,0.0017977378616841548
경기도 고양시,0.0037059193783752164
경기도 과천시,0.005839307993036713
경기도 광명시,0.0038804024204403998
경기도 광주시,0.0017968896289990107
경기도 구리시,0.005039004482990698
경기도 군포시,0.004086107359614716
경기도 김포시,0.002352141843270142
경기도 남양주시,0.002191052540755399
경기도 동두천시,0.0026078559603024045
경기도 부천시,0.004306837241163866
경기도 성남시,0.005333952057321294
경기도 수원시,0.004453984437781798
경기도 시흥시,0.0034816567282929165
경기도 안산시,0.002769355989281842
경기도 안성시,0.00201156127499569
경기도 안양시,0.00345269744760953
경기도 양주시,0.002285738987734283
경기도 양평군,0.0013431629067551924
경기도 여주시,0.0020294713351591527
경기도 연천군,0.0012705966692285145
경기도 오산시,0.0027478698491327424
경기도 용인시,0.0022971122962225404
경기도 의왕시,0.0038784184416874898
경기도 의정부시,0.0034036661848015756
경기도 이천시,0.002365863784796219
경기도 파주시,0.001564767974751293
경기도 평택시,0.0024121197424199995
경기도 포천시,0.0021531423575051976
경기도 하남시,0.0030558135366590355
경기도 화성시,0.002044895046480483
경상남도 거제시,0.002097010468648683
경상남도 거창군,0.0015103524314501859
경상남도 고성군,0.0017074940223891087
경상남도 김해시,0.003108113798906596
경상남도 남해군,0.0021551423648013585
경상남도 밀양시,0.0016376000348301493
경상남도 사천시,0.002103447614686602
경상남도 산청군,0.0016868994063830222
경상남도 양산시,0.002593241359683927
경상남도 의령군,0.0012715880191637374
경상남도 진주시,0.00261813276546414
경상남도 창녕군,0.0022537065165252187
경상남도 창원시,0.0028472218609543777
경상남도 통영시,0.00278811375399152
경상남도 하동군,0.001099795275617703
경상남도 함안군,0.0015537237192943623
경상남도 함양군,0.0016978741911713234
경상남도 합천군,0.0017523680919317806
경상북도 경산시,0.0013994376132769304
경상북도 경주시,0.001575055060216219
경상북도 고령군,0.0020539162388233
경상북도 구미시,0.0015388450330510596
경상북도 김천시,0.0016073574696563858
경상북도 문경시,0.0013055940473728
경상북도 봉화군,0.001224418056612763
경상북도 상주시,0.0015846856342040124
경상북도 성주군,0.0013159656527901333
경상북도 안동시,0.001655889503728364
경상북도 영덕군,0.0019226447201341353
경상북도 영양군,0.0013180115143241206
경상북도 영주시,0.001698282354517228
경상북도 영천시,0.0012799258162828873
경상북도 예천군,0.00150605933122325
