plcyNm,plcyExplnCn,plcySprtCn,aplyYmd,zipCd,aplyUrlAddr,sprtTrgtMinAge,sprtTrgtMaxAge,lclsfNm,mclsfNm,region
청년친화기업 지원,"청년이 일하고 싶은 고용환경을 갖춘 경남형 청년친화기업 지원을 통해, 청년 채용 확대 및 일생활 균형 기업 문화 확산","○ 경상남도 소재(본사) 중소기업
○ 도내 중소기업 중 청년일자리 창출 확대, 일생활 균형 조직문화, 고용 안정성, 복지 혜택 등이 우수한 중소기업을 ‘경남형 청년친화기업’으로 선정·지원",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19,39,일자리,취업,경상남도
청년일자리 성장 프로젝트,"도내 미취업 청년 및 중소기업 임·직원을 대상으로 구직 단념을 예방하고, 청년친화 조직문화, 직장적응 지원 맞춤형 프로그램을 제공","○ 도내 미취업 청년 및 중소기업 임·직원(15 ~ 34세)
○ (구직단념 예방) 구직활동을 지원 및 취업 역량 강화 맞춤형 프로그램 제공
○ (직장 적응 지원) 청년친화 조직문화 교육 및 신입직원 대상 직장 적응지원 교육",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,15,34,일자리,재직자,경상남도
청춘마켓,청년 창업가 및 소상공인 등이 주도한 프리마켓 개최를 통하여 지역 청년 홍보 및 청년 창업 활성화 기여,"○ 도내 청년 창업가 및 청년 소상공인
○ 지역 청년 창업가 교류 및 판로 확대 지원
  - 지역 축제 기간 등에 청년 주도 프리마켓(버스킹, 푸드트럭, 홍보 등 부대행사) 개최
  - 청년 창업가, 청년 소상공인 등 네트워크 교류회 개최",,"48121,48123,48125,48127,48129,48170,48220,48240,48250,48270,48310,48330,48720,48730,48740,48820,48840,48850,48860,48870,48880,48890",,19,39,일자리,취업,경상남도
